Robot position numbers for 32mm Dia 
Chess set made with 2 position conveyor pallets
Date 16.8.2004
(SOLSIS Malaysia))

SAFE POSITION					 100

LATHE ROBOT

SQUARE TO CONVEYOR PALLET POSITION No 1		  51
APPROACH WELL ABOVE PALLET POSITION No 1	  52
APPROACH JUST ABOVE PALLET POSITION No 1	  53
AROUND PART AT PALLET POSITION No 1		  54

SQUARE TO LATHE (PART No 1)	  	          11
SQUARE INTO LATHE (PART No 1)		 	  12
APPROACH CHUCK (PART No 1)			  13
INTO CHUCK (PART No 1)				  14
OUT OF CHUCK (PART No 1)		          15


SQUARE TO CONVEYOR PALLET POSITION No 2		 151
APPROACH WELL ABOVE PALLET POSITION No 2	 152
APPROACH JUST ABOVE PALLET POSITION No 2	 153
AROUND PART AT PALLET POSITION No 2		 154

SQUARE TO LATHE (PART No 2)	  	         111
SQUARE INTO LATHE (PART No 2)		 	 112
APPROACH CHUCK (PART No 2)			 113
INTO CHUCK (PART No 2)				 114
OUT OF CHUCK (PART No 2)		         115

MILLER ROBOT

SQUARE TO CONVEYOR PALLET POSITION No 1		  61
APPROACH WELL ABOVE PALLET POSITION No 1	  62
APPROACH JUST ABOVE PALLET POSITION No 1	  63
AROUND PART AT PALLET POSITION No 1		  64 (OPTIONAL i.e. POS 63)

SQUARE TO MILLER (PART No 1)	  	          21
SQUARE INTO MILLER (PART No 1)		 	  22
APPROACH VICE (PART No 1)			  23
INTO VICE (PART No 1)				  24
OUT OF VICE (PART No 1)		          	  25


SQUARE TO CONVEYOR PALLET POSITION No 2		 161 (OPTIONAL PART 2 USUALLY PAWN)
APPROACH WELL ABOVE PALLET POSITION No 2	 162 (OPTIONAL PART 2 USUALLY PAWN)
APPROACH JUST ABOVE PALLET POSITION No 2	 163 (OPTIONAL PART 2 USUALLY PAWN)
AROUND PART AT PALLET POSITION No 2		 164 (OPTIONAL PART 2 USUALLY PAWN)

SQUARE TO MILLER (PART No 2)	  	         121 (OPTIONAL PART 2 USUALLY PAWN) 
SQUARE INTO MILLER (PART No 2)		 	 122 (OPTIONAL PART 2 USUALLY PAWN)
APPROACH VICE (PART No 2)			 123 (OPTIONAL PART 2 USUALLY PAWN)
INTO VICE (PART No 2)				 124 (OPTIONAL PART 2 USUALLY PAWN)
OUT OF VICE (PART No 2)		                 125 (OPTIONAL PART 2 USUALLY PAWN)
