 A current valid tool is not specified, please select the current tool from the availible tools below :-	TNoCurrentTool	RequestLabel	 A current valid tool is not specified, please select the current tool from the availible tools below :-				Prave platny nastroj neni urcen, prosim zvolte aktualni nastroj z dale uvenych nastroju, ktere jsou k dispozici :-	
 ACW			 ACW		anti-horaire		ACW	
 already exists.  Overwrite the current data with the imported data?			 already exists.  Overwrite the current data with the imported data?					
 Author:	TGetProjInfo	Label1	 Author:				Autor	
 Baud rate 	TRs232_form	BaudRateRG	 Baud rate 		Vitesse de bauds		Rychlost prenosu	
- Build Number							-Cislo stavby	
 COM Port 	TRs232_form	ComPortRG	 COM Port 		Port COM		Port COM	
 Comment:	TGetProjInfo	Label2	 Comment:				Komentar	
 Const 							Konst	
 Custom							Zakazkovy	
 CW			 CW		horaire		CW	
 Data bits 	TRs232_form	DataBitsRG	 Data bits 		bits données		Datove bity	
 Dither 							Kolisat	
 for Tool number 			 for Tool number 				pro cislo Nastroje	
 Frame 							Ramec	
 Handshaking 	TRs232_form	HandshakingRG	 Handshaking 		Handshaking 		Komunikace	
 Image 							Obraz	
 No map							Bez mapy	
 Not Supported			 Not Supported				Nepodporovano	
 Orientation 							Orientace	
 Parity 	TRs232_form	ParityRG	 Parity 		Parité		Parita	
 Project:	TGetProjInfo	ProjName	 Project:				Projekt:	
 Standard							Standard	
 Style 							Styl	
- Version							- Verze	
- X							- X	
 X:	TForm2D	Label1	 X:		 X:	 X:	X:	
 X:	TForm3D	Label1	 X:		 X:	 X:	X:	
- Y							- Y	
- Z							- Z	
 Z:	TForm2D	Label2	 Z:		 Z:	 Z:	Z:	
 Z:	TForm3D	Label2	 Z:		 Z:	 Z:	Z:	
" already exists			" already exists					
"%s" is not a valid distance!							"%s" neni platnou vzdalenosti!	
% invalidity							%neplatnost	
%;Alt							%;Alt	
'%0:s' is not a valid %1:s value.							'%0:s' neni platna hodnota %1:s	
%s does not exists!							%s neexistuje!	
'%s' is not a valid time							'%s' neni platnym casem	
%s value is invalid							%s hodnota neni platna	
&& or ^							&&nebo ^	
&3DButtons							&3DTlacitka	
&About							&Priblizne	
&About...	TMainForm	About1	&About...	&About US	&Au sujet de...	&Sobre...	&Priblizne...	&Informazioni su...
&ActiveColor:							&AktivniBarva	
&Add	TCaracelAndOffsets	OffsetAdd	&Add		&Ajouter	&Adicionar	&Pridat	&Somma
&Add	TToolLib	ListAdd	&Add		&Ajouter	&Adicionar	&Pridat	&Somma
&Add Items from BML...							&Pridat Polozky z BML	
&Add items from IML...							&Pridat Polozky z IML	
&Add new components							&Pridat nove díly	
&Add to Custom Colors			&Add to Custom Colors		&Ajouter aux couleurs personnalisées		&Pridat k Zakazn Barvam	
&Add...	TForm1	AddBut	&Add...		&Ajouter...	&Adicionar...	&Pridat...	&Somma...
&Add...	TMenuConfigTools	AddBut	&Add...		&Ajouter...	&Adicionar...	&Pridat...	&Somma...
&Address *:							&Adresa* :	
&Aligned							&Vyrovnan	
&All			&All		&Tout	&Todos	&Vse	&Tutti
&Animate							&Animovat	
&Apply			&Apply		&Appliquer	&Aplicar	&Aplikovt	&Applica
&Apply	TFlashGenForm	ApplyButton	&Apply		&Appliquer	&Aplicar		&Applica
&Arrange Icons							&Usporadat Ikony	
&Attack:							&Utok	
&b							&b	
&Background							&Pozadi	
&Basic colors:			&Basic colors:		&Couleurs de base :		&Zakladni Barvy:	
&Boolean							&Boolovsky	
&BottomLeft							&SpodniLevy	
&Browse	TFlashGenForm	BrowseButton	&Browse		&Parcourir	&B"	&Hledat	&Sfoglia
&Browse...							&Hledat...	
&Build							&Postavit	
&Calculate							&Pocitat	
&Cancel	TFlashGenForm	CancelButton	&Cancel		&Annuler	&Cancelar		&Annulla
